RunAddDouble1ATest: Duration=0.9527709, Accumulated=[500999998325.57697]
RunAddDouble1BTest: Duration=1.0950574, Accumulated=[1010999996629.8711]
RunAddDouble1CTest: Duration=0.9633838, Accumulated=[1010999996629.8711]
RunSubDouble1ATest: Duration=1.0842992, Accumulated=[-500999998325.57697]
RunSubDouble1BTest: Duration=1.0858344, Accumulated=[-1010999996629.8711]
RunAddDouble2ATest: Duration=0.9538654, Accumulated=[500999998325.57697,1000999996653.6157]
RunAddDouble2BTest: Duration=1.1130239, Accumulated=[1010999996629.8711,2010999993284.5752]
RunAddDouble2CTest: Duration=0.9868148, Accumulated=[1010999996629.8711,1010999996629.8711]
RunSubDouble2ATest: Duration=1.0776138, Accumulated=[-500999998325.57697,-1000999996653.6157]
RunSubDouble2BTest: Duration=1.1042064, Accumulated=[-1010999996629.8711,-2010999993284.5752]
RunAddDouble3ATest: Duration=1.1302592, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183]
RunAddDouble3BTest: Duration=1.0557033, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093]
RunAddDouble4ATest: Duration=1.1597022, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396]
RunAddDouble4BTest: Duration=1.0471743, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735]
RunAddDouble5ATest: Duration=1.1941676, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043]
RunAddDouble5BTest: Duration=1.2583214, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869]
RunAddDouble6ATest: Duration=1.1912681, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315]
RunAddDouble6BTest: Duration=1.3132928, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035]
RunAddDouble7ATest: Duration=1.1882177, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582]
RunAddDouble7BTest: Duration=1.2434466, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212]
RunAddDouble8ATest: Duration=1.185868, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144]
RunAddDouble8BTest: Duration=1.3285993, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619]
RunAddDouble9ATest: Duration=1.0393638, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37]
RunAddDouble9BTest: Duration=1.4646111, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426]
RunAddDouble10ATest: Duration=1.175593, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37,5000999975705.032]
RunAddDouble10BTest: Duration=1.4393413, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426,10010999951309.262]
RunAddDouble11ATest: Duration=0.9997493, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37,5000999975705.032,5501000028026.787]
RunAddDouble11BTest: Duration=1.4237019, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426,10010999951309.262,11011000056115.713]
RunAddDouble12ATest: Duration=1.1608557, Accumulated=[500999998325.57697,1000999996653.6157,1501000019841.7183,2000999993309.6396,2500999987846.9043,3001000039660.8315,3500999990723.582,4000999986621.7144,4501000025549.37,5000999975705.032,5501000028026.787,6001000079299.072]
RunAddDouble12BTest: Duration=1.4541813, Accumulated=[1010999996629.8711,2010999993284.5752,3011000039887.093,4010999986597.3735,5010999975592.869,6011000079525.035,7010999981307.212,8010999973221.619,9011000051167.426,10010999951309.262,11011000056115.713,12011000158801.639]
