OverheadTest: Duration=2.554, Accumulated=5.0314159097386835E11
IsNaNTest: Duration=2.476, Accumulated=0.0
IsInfTest: Duration=2.898, Accumulated=0.0
AbsTest: Duration=2.759, Accumulated=5.0314159097386835E11
SignBitTest: Duration=2.723, Accumulated=0.0
MinTest: Duration=2.704, Accumulated=5.0314159097386835E11
MaxTest: Duration=2.708, Accumulated=5.0314159097386835E11
CeilTest: Duration=2.816, Accumulated=5.0364159098E11
FloorTest: Duration=2.801, Accumulated=5.0264159098E11
TruncTest: Duration=3.009, Accumulated=5.0264159098E11
RoundTest: Duration=2.811, Accumulated=5.0314159098E11
ClampTest: Duration=2.705, Accumulated=5.0314159097386835E11
LerpTest: Duration=2.536, Accumulated=5.039269891351825E11
ScaleByNTest: Duration=2.432, Accumulated=2.860627197093993E38
CopySignTest: Duration=2.754, Accumulated=-5.0314159097386835E11
SinTest: Duration=6.958, Accumulated=-437618.48596583155
ASinTest: Duration=5.063, Accumulated=5.707963256249679E8
CosTest: Duration=6.883, Accumulated=-826878.3921448529
ACosTest: Duration=4.85, Accumulated=1.0000000011699724E9
TanTest: Duration=9.432, Accumulated=-6.438915991965047E9
ATanTest: Duration=5.213, Accumulated=4.388245741665145E8
ATan2Test: Duration=8.329, Accumulated=7.85398158123596E8
